Site,Col_Company,Col_Recuit,Col_detail,Col_url
Saramin,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 경력 모집","['서울 강남구', '경력2년↑', '석사↑', '정규직·인턴직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51712797&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,콘센트릭스서비스코리아(유),[Catalyst] GA/AA 데이터분석,"['서울 강남구', '경력1년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51645478&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,주식회사 테크핀레이팅스,[신용평가사] 데이터분석(5년 이상),"['서울 중구', '경력5년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51603209&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)더블유게임즈,데이터 분석가 (경력),"['서울 강남구', '경력5년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51479354&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)매경에이엑스,매경AX 데이터 분석 담당자 상시채용,"['서울 중구', '경력2년↑', '대졸↑', '계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51485940&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,트리노드(주),[서울/경력 7년 이상] 데이터분석팀- 데이터 분석 리더,"['서울 강남구', '경력7년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51593674&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)기어세컨드,[기어세컨드] 데이터 분석가 채용,"['서울 마포구', '경력 2~10년', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51460683&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)워트인텔리전스,특허 빅데이터 분석가 (신입),"['서울 강남구', '신입·경력', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51770822&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,쿠팡(주),[쿠팡] Business Analyst (비즈니스 데이터 분석) 경력자,"['서울 송파구', '경력 5~18년', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51465705&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
Saramin,(주)컬리,[컬리] VOC 데이터 분석 및 CX기획 담당,"['서울 강남구', '경력5년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51559975&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=64b5516f-44e2-4d8c-9b92-5e2b1caf24a8
