Site,Col_Company,Col_Recuit,Col_detail,Col_url
Job_Korea,㈜쿡섬,"데이터분석전문가,Python,10월부터","['경력9년↑', '학력무관', '계약직 외 1', '서울 중구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47604668?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1&sc=630
Job_Korea,㈜원익피앤이,[원익PNE] 데이터분석 및 솔루션 담당자,"['경력3년↑', '석사↑', '정규직', '경기 수원시']",https://www.jobkorea.co.kr/Recruit/GI_Read/47664827?Oem_Code=C1&logpath=1&stext=데이터분석&listno=2&sc=630
Job_Korea,콘센트릭스서비스코리아,[Catalyst] 데이터분석 컨설턴트,"['경력5년↑', '학력무관', '정규직', '서울 강남구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47593760?Oem_Code=C1&logpath=1&stext=데이터분석&listno=3&sc=630
Job_Korea,㈜지바이크,[지쿠] 전략마케팅팀 데이터분석 전문가 경력 채용,"['경력3년↑', '대졸↑', '정규직', '서울 강남구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47443951?Oem_Code=C1&logpath=1&stext=데이터분석&listno=4&sc=630
Job_Korea,넛지헬스케어㈜,[캐시워크-병역특례] 데이터분석 담당 산업기능요원,"['경력무관', '학력무관', '병역특례', '서울 강남구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47447269?Oem_Code=C1&logpath=1&stext=데이터분석&listno=5&sc=630
Job_Korea,㈜메디쿼터스,[일본:누구(nugu)] 프로덕트기획팀 데이터분석,"['경력10년↑', '학력무관', '정규직', '서울 강남구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47677403?Oem_Code=C1&logpath=1&stext=데이터분석&listno=6&sc=630
Job_Korea,삼양식품㈜,[삼양식품] Global 물류(관리/데이터분석),"['경력8년↑', '대졸↑', '정규직', '서울 성북구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47393016?Oem_Code=C1&logpath=1&stext=데이터분석&listno=7&sc=630
Job_Korea,㈜트리노드(TreenodInc.),[서울/경력 5년 이상] 데이터분석팀 데이터분석가,"['경력5년↑', '학력무관', '정규직', '서울 강남구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47660884?Oem_Code=C1&logpath=1&stext=데이터분석&listno=8&sc=630
Job_Korea,넛지헬스케어㈜,[캐시워크] 데이터분석 담당 채용전환형 인턴,"['신입', '대졸↑', '인턴', '서울 강남구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47447275?Oem_Code=C1&logpath=1&stext=데이터분석&listno=9&sc=630
Job_Korea,㈜디지토피아,[강남] 대용량 데이터분석 경험자 모집,"['경력9년↑', '초대졸↑', '프리랜서', '서울 금천구 외 1']",https://www.jobkorea.co.kr/Recruit/GI_Read/47679875?Oem_Code=C1&logpath=1&stext=데이터분석&listno=10&sc=630
Job_Korea,㈜컴투스,[컴투스홀딩스] 데이터분석 담당자 (3-8년차),"['경력3년↑', '학력무관', '정규직', '서울 금천구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47579831?Oem_Code=C1&logpath=1&stext=데이터분석&listno=11&sc=630
Job_Korea,SK㈜,IIoT 기반 진단모니터링 구축 및 데이터분석 전문가 영입,"['경력5년↑', '대졸↑', '정규직', '경기 성남시']",https://www.jobkorea.co.kr/Recruit/GI_Read/47485871?Oem_Code=C1&logpath=1&stext=데이터분석&listno=12&sc=630
Job_Korea,㈜테크핀레이팅스,[신용평가사] 데이터분석(5년 이상),"['경력5년↑', '대졸↑', '정규직', '서울 중구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47538107?Oem_Code=C1&logpath=1&stext=데이터분석&listno=13&sc=630
Job_Korea,휴먼교육센터,[국비무료/숙식무료]AI/빅데이터분석/풀스택/KDT심화(무료숙식제공),"['신입·경력', '학력무관', '연수생/교육생', '서울 영등포구 외 14']",https://www.jobkorea.co.kr/Recruit/GI_Read/47607471?Oem_Code=C1&logpath=1&stext=데이터분석&listno=14&sc=630
Job_Korea,코리아크레딧뷰로㈜,2025년 하반기 정기채용 - 데이터분석 및 마케팅,"['신입·경력', '대졸↑', '정규직', '서울 영등포구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47623471?Oem_Code=C1&logpath=1&stext=데이터분석&listno=15&sc=630
Job_Korea,(주)에이치에스애드,2025년 하반기 대졸 채용연계형 인턴십 - AI데이터분석,"['신입', '대졸↑', '인턴', '서울 마포구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47657802?Oem_Code=C1&logpath=1&stext=데이터분석&listno=16&sc=630
Job_Korea,민컴퍼니,[강남] 대용량 데이터분석 경험자 모집,"['경력10년↑', '초대졸↑', '계약직 외 1', '서울 마포구 외 1']",https://www.jobkorea.co.kr/Recruit/GI_Read/47686350?Oem_Code=C1&logpath=1&stext=데이터분석&listno=17&sc=630
Job_Korea,㈜파오스파트너스,"(주)파오스파트너스 -DB관리, DB생성, DB분석 채용","['경력무관', '초대졸↑', '정규직', '서울 용산구']",https://www.jobkorea.co.kr/Recruit/GI_Read/47679738?Oem_Code=C1&logpath=1&stext=데이터분석&listno=18&sc=630
Job_Korea,피디에프솔루션세미컨덕터테크놀로지코리아(유),"(외국계 나스닥 상장) Spotfire, Data분석, AI/ML 경력 정규직 채용(석사)","['경력무관', '석사↑', '정규직', '경기 성남시']",https://www.jobkorea.co.kr/Recruit/GI_Read/47619977?Oem_Code=C1&logpath=1&stext=데이터분석&listno=19&sc=630
Job_Korea,피디에프솔루션세미컨덕터테크놀로지코리아(유),"(외국계 기업 나스닥 상장) Spotfire, Data분석, AI/ML 경력 정규직 채용","['경력', '대졸↑', '정규직', '경기 성남시']",https://www.jobkorea.co.kr/Recruit/GI_Read/47399798?Oem_Code=C1&logpath=1&stext=데이터분석&listno=20&sc=630
